E1;E2;E3;C1;C2;C3
21.80761081;21.97086667;21.90294695;22.26018879;22.37012252;22.46517826
15.51449832;15.58381733;15.36036702;15.66291867;15.64698052;15.89630875
18.11117643;18.55612432;18.44539481;18.58008187;18.30823236;18.5847717
16.88323991;17.16368898;17.1252722;17.25176901;17.40769929;17.52859909
15.91674253;15.9448493;15.86387168;16.35739736;16.34696381;16.35909751
23.75102789;24.02674749;24.10572623;24.66246563;24.61323765;24.77224379
20.7441399;20.8454755;20.72559759;21.01552054;21.24171089;21.17457951
19.66000982;19.96143132;20.12686703;20.20830939;20.47122668;20.56120776
19.45189325;19.53410146;19.74043464;19.6908659;20.02462432;20.00764737
17.12711775;17.09655045;17.16977824;17.37609995;17.40685272;17.51984354
18.33819666;18.41968043;18.49060021;18.5249166;18.85494445;18.72199365
18.30074132;18.35353023;18.32311635;18.51006873;18.573085;18.66544349
20.78921363;21.01796716;20.81106105;21.40224547;21.39288548;21.42885698
18.83049354;19.04752868;18.87918237;19.55129145;19.56542567;19.54173945
17.50074853;17.69891488;17.63669542;18.22580053;18.24835846;18.27577441
16.89426121;17.03363808;16.96852055;17.36062422;17.15252253;17.06149777
14.10304187;14.11504365;14.32951607;14.11162475;14.55728419;14.44882612
22.15865529;22.33781705;22.30318207;22.89942091;22.91535715;23.09503848
14.06709819;14.18138523;14.39580187;14.36194377;14.32256195;14.08820853
19.72916598;19.61360424;19.55885415;20.32746054;20.32529996;20.32549981
16.40593919;16.52623941;16.4859865;16.48730621;16.59305551;16.5609597
15.4367766;15.48589219;15.42298456;15.57299622;15.79907921;15.93059875
16.50858402;16.54340949;16.61412029;16.57058211;16.64200937;16.61683598
17.5600641;17.7516029;17.66980548;17.67713464;17.73802627;17.74701284
17.07677385;17.21067134;17.19544911;17.33131936;17.4461302;17.39530819
16.27676053;16.58111229;16.43851573;16.80007834;16.72964729;16.67159635
15.77115414;15.84011404;15.79560848;16.05171876;15.9424916;16.1079322
18.80458482;18.97867136;18.96051108;19.24935423;19.23298999;19.3916212
18.40986325;18.5353855;18.50112577;18.88316532;18.84057203;18.92518352
18.16348261;18.25575243;18.30769889;18.50109855;18.15880689;18.33773513
21.48056342;21.92957447;21.59626894;22.25216415;21.97640015;22.26463846
16.65727658;16.90168008;16.74717023;17.24649939;17.25526836;17.29215984
17.66818557;17.59535948;17.70263266;17.88447463;17.85543426;17.93790825
14.4343676;14.52833201;14.61258057;14.76616653;14.78212799;14.77334529
19.5508238;19.60016518;19.62758197;19.96085889;19.96481465;19.9944667
15.65812778;15.9794252;15.91148562;16.1972935;16.02225943;16.13426587
14.50822808;14.85598775;14.74009696;15.00176003;14.88850544;15.40244586
18.84309296;18.91570143;19.02780343;19.59041344;19.64944565;19.68850815
14.95183109;15.22513211;15.09918341;15.08501594;15.50171281;15.34609815
18.63607583;18.77007022;17.73478899;18.74591062;19.01582609;18.96242442
17.90278727;18.08457485;17.91604272;18.35660242;18.29505143;18.4475595
19.60206088;19.80733763;19.77083969;20.06208831;20.07162472;20.13505416
17.48460265;17.76676829;17.61094552;17.93104333;18.17135763;18.13299166
19.04894978;19.09810407;18.89292222;19.31160199;19.39183933;19.32492546
16.74934571;16.92982474;16.93522261;16.84248539;16.80588239;16.95892648
16.04270674;16.07152521;16.18584332;16.57093782;16.57950746;16.66954946
15.29185418;15.73097423;15.50739205;16.09352073;16.14640957;16.27616076
16.98025117;17.33217645;17.28901022;17.64177659;17.74623875;17.81448233
15.02180415;15.25816114;15.22486842;15.15758379;15.51363508;15.61953223
19.5989975;19.9503181;19.77673181;20.30793675;20.17687924;20.45533123
17.87272297;17.95339507;17.86729684;18.29303601;18.3009781;18.3904083
17.84858015;17.80384102;17.62390292;17.89478224;17.8661681;17.76776418
16.52672846;16.74593688;16.79200225;16.97565768;16.94827597;17.04492769
17.24368537;17.25007631;17.22939152;16.96511914;16.81624619;17.03522868
18.52240146;18.54416452;18.65991926;18.80213136;18.77887282;18.87582133
19.19110742;19.22930937;19.30780338;19.39909848;19.52889283;19.50472008
21.79345487;21.79305513;21.79882655;21.84747567;21.9284038;21.97529627
25.22107817;25.33398965;25.50444648;25.54460061;25.53790905;25.75907992
17.88624433;18.01053903;17.91378349;18.14375687;18.07954208;18.16846157
19.77765665;19.88940295;19.91361698;20.3027672;20.40576577;20.56225361
16.45755723;16.46696863;16.5844928;17.02577761;17.14438939;17.18311195
16.86877434;16.8234792;16.92057384;17.1450266;17.14893331;17.25603358
14.73041706;14.76668418;14.5747709;14.98917272;14.89486512;14.84553905
20.45537539;20.60574174;20.52265911;20.04315281;19.99425398;20.20471799
15.64585542;15.82095177;15.8829057;15.94765977;15.92550808;16.06917701
17.4843509;18.00385825;18.04886465;17.99126717;18.19882869;18.33691184
13.65754176;13.89557528;13.6800298;13.5526691;13.81858218;13.92824076
18.85105663;18.99276688;19.10215257;19.22609934;19.37596212;19.33016411
20.18954348;20.35938282;20.34108442;20.78405249;20.88027631;20.94544955
19.3049239;19.47941122;19.49412118;19.80952636;19.91539217;20.06738972
18.34667387;18.53809797;18.48690178;18.98104879;19.06641246;19.00098203
22.21585171;22.11047088;22.15467289;22.62625958;22.61804131;22.8595272
16.92600637;16.98219146;17.10193465;17.09425298;17.11656733;17.15457092
18.8352054;19.00552313;18.86883461;18.64264404;18.77046388;18.70637797
21.37674436;21.58809331;21.45545967;21.95861325;21.9368895;21.96013701
20.48685073;20.67481466;20.55575464;20.81782839;20.96200141;20.88359716
22.55612806;22.46732071;22.44316336;22.61005429;22.76053581;22.73942546
17.70330881;17.85077286;17.7260385;17.92721661;17.84405595;18.05968773
13.97924654;14.08597031;14.18138523;14.53982522;14.1126024;14.41607178
25.4503149;25.66731726;25.74549882;25.86481059;25.78706831;25.95046301
19.46944905;19.62529147;19.45118092;19.5208124;19.40801247;19.6305231
17.69545261;17.74905758;17.72063839;18.39243482;17.57067846;17.83284676
15.79788946;16.0193301;15.77298462;15.92179446;15.80994393;15.95580881
