,FC,labels,setting
54,0.514207889,modT-2 trend,0.2
55,0.514786333,modT-2 trend,0.2
56,0.515654667,modT-2 trend,0.2
57,0.514596778,modT-2 trend,0.2
58,0.514265444,modT-2 trend,0.2
59,0.51397,modT-2 trend,0.2
60,0.512186778,modT-2 trend,0.2
61,0.512749778,modT-2 trend,0.2
62,0.512749778,modT-2 trend,0.2
63,0.513318889,modT-2 trend,0.2
64,0.514623778,modT-2 trend,0.2
65,0.514927,modT-2 trend,0.2
66,0.516231556,modT-2 trend,0.2
67,0.514675111,modT-2 trend,0.2
68,0.514514222,modT-2 trend,0.2
69,0.513412778,modT-2 trend,0.2
70,0.513412778,modT-2 trend,0.2
71,0.514515667,modT-2 trend,0.2
72,0.514957778,modT-2 trend,0.2
73,0.515145556,modT-2 trend,0.2
74,0.515918556,modT-2 trend,0.2
75,0.514210889,modT-2 trend,0.2
76,0.514442222,modT-2 trend,0.2
77,0.514146222,modT-2 trend,0.2
78,0.513655667,modT-2 trend,0.2
79,0.513100222,modT-2 trend,0.2
80,0.513100222,modT-2 trend,0.2
81,0.516530889,modT-2 trend,0.2
82,0.516530889,modT-2 trend,0.2
83,0.512702333,modT-2 trend,0.2
84,0.511006111,modT-2 trend,0.2
85,0.513298222,modT-2 trend,0.2
86,0.513549333,modT-2 trend,0.2
87,0.514767667,modT-2 trend,0.2
88,0.514358222,modT-2 trend,0.2
89,0.514358222,modT-2 trend,0.2
90,0.513805,modT-2 trend,0.2
91,0.515695222,modT-2 trend,0.2
92,0.514010444,modT-2 trend,0.2
93,0.513502444,modT-2 trend,0.2
94,0.512224222,modT-2 trend,0.2
95,0.513628222,modT-2 trend,0.2
96,0.512817778,modT-2 trend,0.2
97,0.513180778,modT-2 trend,0.2
98,0.514762889,modT-2 trend,0.2
99,0.513701222,modT-2 trend,0.2
100,0.751636222,modT-2 trend,0.3
101,0.761985111,modT-2 trend,0.3
102,0.764542556,modT-2 trend,0.3
103,0.764542556,modT-2 trend,0.3
104,0.766789889,modT-2 trend,0.3
105,0.769194111,modT-2 trend,0.3
106,0.768965889,modT-2 trend,0.3
107,0.768965889,modT-2 trend,0.3
108,0.771273444,modT-2 trend,0.3
109,0.772386,modT-2 trend,0.3
110,0.772506444,modT-2 trend,0.3
111,0.771451667,modT-2 trend,0.3
112,0.772970667,modT-2 trend,0.3
113,0.772970667,modT-2 trend,0.3
114,0.771940333,modT-2 trend,0.3
115,0.770755222,modT-2 trend,0.3
